順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
19,ＫＤＤＩ(株)9433東証PRM掲示板,"2,399.506/20","4,187,847,474株","10,048,740百万円",100
20,(株)みずほフィナンシャルグループ8411東証PRM掲示板,"3,93606/20","2,513,757,794株","9,894,151百万円",100
21,信越化学工業(株)4063東証PRM掲示板,"4,40806/20","1,984,995,865株","8,749,862百万円",100
22,ＪＴ2914東証PRM掲示板,"4,36306/20","2,000,000,000株","8,726,000百万円",100
23,三井物産(株)8031東証PRM掲示板,"2,922.506/20","2,905,741,576株","8,492,030百万円",100
24,(株)アドバンテスト6857東証PRM掲示板,"9,83106/20","766,141,256株","7,531,935百万円",100
25,ホンダ7267東証PRM掲示板,"1,423.506/20","5,280,000,000株","7,516,080百万円",100
26,富士通(株)6702東証PRM掲示板,"3,41006/20","2,071,108,450株","7,062,480百万円",100
27,武田薬品工業(株)4502東証PRM掲示板,"4,28806/20","1,590,961,709株","6,822,044百万円",100
28,三菱電機(株)6503東証PRM掲示板,"3,00706/20","2,113,201,551株","6,354,397百万円",100
29,第一三共(株)4568東証PRM掲示板,"3,30806/20","1,894,350,529株","6,266,512百万円",100
30,(株)セブン＆アイ・ホールディングス3382東証PRM掲示板,"2,24306/20","2,604,555,849株","5,842,019百万円",100
31,ＨＯＹＡ(株)7741東証PRM掲示板,"16,88506/20","343,122,620株","5,793,625百万円",100
32,(株)オリエンタルランド4661東証PRM掲示板,"3,20006/20","1,800,450,800株","5,761,443百万円",100
33,キヤノン(株)7751東証PRM掲示板,"4,21106/20","1,333,763,464株","5,616,478百万円",100
34,(株)ＮＴＴデータグループ9613東証PRM掲示板,"4,00006/20","1,402,500,000株","5,610,000百万円",100
35,(株)デンソー6902東証PRM掲示板,"1,92606/20","2,910,979,691株","5,606,547百万円",100
36,ＮＥＣ6701東証PRM掲示板,"4,09406/20","1,364,249,315株","5,585,237百万円",100
37,(株)ゆうちょ銀行7182東証PRM掲示板,"1,518.506/20","3,575,878,720株","5,429,972百万円",100
38,(株)豊田自動織機6201東証PRM掲示板,"16,37506/20","325,840,640株","5,335,640百万円",100
39,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)8725東証PRM掲示板,"3,16306/20","1,608,398,708株","5,087,365百万円",100
40,丸紅(株)8002東証PRM掲示板,"2,86906/20","1,660,758,361株","4,764,716百万円",100
41,ダイキン工業(株)6367東証PRM掲示板,"16,06006/20","293,113,973株","4,707,410百万円",100
42,住友商事(株)8053東証PRM掲示板,"3,62906/20","1,211,099,367株","4,395,080百万円",100
43,(株)ブリヂストン5108東証PRM掲示板,"5,98306/20","713,698,221株","4,270,056百万円",100
44,コマツ6301東証PRM掲示板,"4,40806/20","950,953,120株","4,191,801百万円",100
45,ＳＯＭＰＯホールディングス(株)8630東証PRM掲示板,"4,33706/20","934,228,767株","4,051,750百万円",100
46,(株)村田製作所6981東証PRM掲示板,"2,063.506/20","1,963,001,843株","4,050,654百万円",100
47,(株)ディスコ6146東証PRM掲示板,"36,69006/20","108,425,765株","3,978,141百万円",100
48,第一生命ホールディングス(株)8750東証PRM掲示板,"1,07206/20","3,700,398,400株","3,966,827百万円",100
49,イオン(株)8267東証PRM掲示板,"4,50806/20","871,924,572株","3,930,636百万円",100
50,日本郵政(株)6178東証PRM掲示板,"1,32206/20","2,972,934,900株","3,930,220百万円",100
51,テルモ(株)4543東証PRM掲示板,"2,623.506/20","1,480,559,680株","3,884,248百万円",100
52,三井不動産(株)8801東証PRM掲示板,"1,38906/20","2,782,189,711株","3,864,462百万円",100
53,ＬＩＮＥヤフー(株)4689東証PRM掲示板,538.406/20,"7,154,878,247株","3,852,186百万円",100
54,富士フイルムホールディングス(株)4901東証PRM掲示板,"3,08406/20","1,243,877,184株","3,836,117百万円",100
